area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,sq_miles
35,0.0000000000000000000000000000000,46004621.1581000015139579772949218750000,0.0000000000000000000000000000000,DOUGLAS,0.0000000000000000000000000000000,31027.0545098000002326443791389465332,35,0.0000000000000000000000000000000,1.650189
36,0.0000000000000000000000000000000,16913961.0408000014722347259521484375000,0.0000000000000000000000000000000,OAKLAND,0.0000000000000000000000000000000,19565.5061533000007329974323511123657,36,0.0000000000000000000000000000000,0.606705
37,0.0000000000000000000000000000000,19916704.8691999986767768859863281250000,0.0000000000000000000000000000000,FULLER PARK,0.0000000000000000000000000000000,25339.0897503000014694407582283020020,37,0.0000000000000000000000000000000,0.714414
38,0.0000000000000000000000000000000,48492503.1554000005125999450683593750000,0.0000000000000000000000000000000,GRAND BOULEVARD,0.0000000000000000000000000000000,28196.8371573000003991182893514633179,38,0.0000000000000000000000000000000,1.739429
39,0.0000000000000000000000000000000,29071741.9283000007271766662597656250000,0.0000000000000000000000000000000,KENWOOD,0.0000000000000000000000000000000,23325.1679062000002886634320020675659,39,0.0000000000000000000000000000000,1.042805
4,0.0000000000000000000000000000000,71352328.2398999929428100585937500000000,0.0000000000000000000000000000000,LINCOLN SQUARE,0.0000000000000000000000000000000,36624.6030848000009427778422832489014,4,0.0000000000000000000000000000000,2.559413
40,0.0000000000000000000000000000000,42373881.4842000007629394531250000000000,0.0000000000000000000000000000000,WASHINGTON PARK,0.0000000000000000000000000000000,28175.3160865999998350162059068679810,40,0.0000000000000000000000000000000,1.519954
41,0.0000000000000000000000000000000,45105380.1731999963521957397460937500000,0.0000000000000000000000000000000,HYDE PARK,0.0000000000000000000000000000000,29746.7082015999985742382705211639404,41,0.0000000000000000000000000000000,1.617933
42,0.0000000000000000000000000000000,57815179.5120000019669532775878906250000,0.0000000000000000000000000000000,WOODLAWN,0.0000000000000000000000000000000,46936.9592443000001367181539535522461,42,0.0000000000000000000000000000000,2.073834
1,0.0000000000000000000000000000000,51259902.4505999982357025146484375000000,0.0000000000000000000000000000000,ROGERS PARK,0.0000000000000000000000000000000,34052.3975757000007433816790580749512,1,0.0000000000000000000000000000000,1.838696
11,0.0000000000000000000000000000000,64868161.6818000003695487976074218750000,0.0000000000000000000000000000000,JEFFERSON PARK,0.0000000000000000000000000000000,44011.9571703999972669407725334167480,11,0.0000000000000000000000000000000,2.326825
12,0.0000000000000000000000000000000,89130893.6363999992609024047851562500000,0.0000000000000000000000000000000,FOREST GLEN,0.0000000000000000000000000000000,74493.8216039999970234930515289306641,12,0.0000000000000000000000000000000,3.197131
13,0.0000000000000000000000000000000,70288706.4343000054359436035156250000000,0.0000000000000000000000000000000,NORTH PARK,0.0000000000000000000000000000000,41581.9486538999990443699061870574951,13,0.0000000000000000000000000000000,2.521261
14,0.0000000000000000000000000000000,53542230.8190999999642372131347656250000,0.0000000000000000000000000000000,ALBANY PARK,0.0000000000000000000000000000000,39339.0164386999967973679304122924805,14,0.0000000000000000000000000000000,1.920563
15,0.0000000000000000000000000000000,110196097.1389999985694885253906250000000,0.0000000000000000000000000000000,PORTAGE PARK,0.0000000000000000000000000000000,46520.6421377000006032176315784454346,15,0.0000000000000000000000000000000,3.952741
16,0.0000000000000000000000000000000,89611382.3105999976396560668945312500000,0.0000000000000000000000000000000,IRVING PARK,0.0000000000000000000000000000000,49083.2240938000031746923923492431641,16,0.0000000000000000000000000000000,3.214366
17,0.0000000000000000000000000000000,103595001.1749999970197677612304687500000,0.0000000000000000000000000000000,DUNNING,0.0000000000000000000000000000000,54555.9925337000022409483790397644043,17,0.0000000000000000000000000000000,3.715960
18,0.0000000000000000000000000000000,27576393.6325000002980232238769531250000,0.0000000000000000000000000000000,MONTCLARE,0.0000000000000000000000000000000,22404.8521447999992233235388994216919,18,0.0000000000000000000000000000000,0.989167
19,0.0000000000000000000000000000000,109099414.6889999955892562866210937500000,0.0000000000000000000000000000000,BELMONT CRAGIN,0.0000000000000000000000000000000,43311.7073789999994914978742599487305,19,0.0000000000000000000000000000000,3.913403
2,0.0000000000000000000000000000000,98429094.8621000051498413085937500000000,0.0000000000000000000000000000000,WEST RIDGE,0.0000000000000000000000000000000,43020.6894583000030252151191234588623,2,0.0000000000000000000000000000000,3.530658
20,0.0000000000000000000000000000000,32602059.4054999984800815582275390625000,0.0000000000000000000000000000000,HERMOSA,0.0000000000000000000000000000000,27179.0174378000010619871318340301514,20,0.0000000000000000000000000000000,1.169438
21,0.0000000000000000000000000000000,55290595.4729999974370002746582031250000,0.0000000000000000000000000000000,AVONDALE,0.0000000000000000000000000000000,34261.9334038000015425495803356170654,21,0.0000000000000000000000000000000,1.983277
22,0.0000000000000000000000000000000,100057566.7000000029802322387695312500000,0.0000000000000000000000000000000,LOGAN SQUARE,0.0000000000000000000000000000000,49213.4217487999994773417711257934570,22,0.0000000000000000000000000000000,3.589072
23,0.0000000000000000000000000000000,100480876.5020000040531158447265625000000,0.0000000000000000000000000000000,HUMBOLDT PARK,0.0000000000000000000000000000000,48583.0643299000003025867044925689697,23,0.0000000000000000000000000000000,3.604256
24,0.0000000000000000000000000000000,127562904.5970000028610229492187500000000,0.0000000000000000000000000000000,WEST TOWN,0.0000000000000000000000000000000,55203.7186956000005011446774005889893,24,0.0000000000000000000000000000000,4.575690
25,0.0000000000000000000000000000000,199254203.4269999861717224121093750000000,0.0000000000000000000000000000000,AUSTIN,0.0000000000000000000000000000000,75226.4749166999972658231854438781738,25,0.0000000000000000000000000000000,7.147261
